time_bucket,consumer_id,supplier_id,summary
2025-05-12 02:00:00,ECOMLP,MCSCBT,"At 2025-05-12 02:00:00, ECOMLP showed an anomalous pattern when calling MCSCBT. Total cost was about $3,540 with an average cost of $590 per transaction and a data mean of 11.80. Model confidence in this anomaly is high. This suggests MCSCBT is a high-impact dependency and should be reviewed for potential optimization or reliability risk."
2025-03-30 01:00:00,CUSTPRT,MCSCBT,"At 2025-03-30 01:00:00, CUSTPRT showed an anomalous pattern when calling MCSCBT. Total cost was about $3,465 with an average cost of $578 per transaction and a data mean of 12.18. Model confidence in this anomaly is high. This suggests MCSCBT is a high-impact dependency and should be reviewed for potential optimization or reliability risk."
2025-03-25 05:00:00,ECOMLP,MCSCBT,"At 2025-03-25 05:00:00, ECOMLP showed an anomalous pattern when calling MCSCBT. Total cost was about $2,922 with an average cost of $584 per transaction and a data mean of 11.85. Model confidence in this anomaly is high. This suggests MCSCBT is a high-impact dependency and should be reviewed for potential optimization or reliability risk."
2025-04-08 18:00:00,CUSTPRT,MCSCBT,"At 2025-04-08 18:00:00, CUSTPRT showed an anomalous pattern when calling MCSCBT. Total cost was about $2,888 with an average cost of $578 per transaction and a data mean of 12.30. Model confidence in this anomaly is high. This suggests MCSCBT is a high-impact dependency and should be reviewed for potential optimization or reliability risk."
2025-05-07 10:00:00,MOBAPP,MCSCBT,"At 2025-05-07 10:00:00, MOBAPP showed an anomalous pattern when calling MCSCBT. Total cost was about $2,884 with an average cost of $577 per transaction and a data mean of 11.97. Model confidence in this anomaly is high. This suggests MCSCBT is a high-impact dependency and should be reviewed for potential optimization or reliability risk."
2025-05-13 15:00:00,MOBAPP,MCSCBT,"At 2025-05-13 15:00:00, MOBAPP showed an anomalous pattern when calling MCSCBT. Total cost was about $2,822 with an average cost of $564 per transaction and a data mean of 11.58. Model confidence in this anomaly is high. This suggests MCSCBT is a high-impact dependency and should be reviewed for potential optimization or reliability risk."
2025-04-04 18:00:00,MOBAPP,MCSCBT,"At 2025-04-04 18:00:00, MOBAPP showed an anomalous pattern when calling MCSCBT. Total cost was about $2,768 with an average cost of $554 per transaction and a data mean of 12.27. Model confidence in this anomaly is high. This suggests MCSCBT is a high-impact dependency and should be reviewed for potential optimization or reliability risk."
2025-03-26 21:00:00,MOBAPP,MCSCBT,"At 2025-03-26 21:00:00, MOBAPP showed an anomalous pattern when calling MCSCBT. Total cost was about $2,764 with an average cost of $553 per transaction and a data mean of 12.39. Model confidence in this anomaly is high. This suggests MCSCBT is a high-impact dependency and should be reviewed for potential optimization or reliability risk."
2025-04-03 16:00:00,ECOMLP,MCSCBT,"At 2025-04-03 16:00:00, ECOMLP showed an anomalous pattern when calling MCSCBT. Total cost was about $2,756 with an average cost of $551 per transaction and a data mean of 11.70. Model confidence in this anomaly is high. This suggests MCSCBT is a high-impact dependency and should be reviewed for potential optimization or reliability risk."
2025-04-07 23:00:00,ECOMLP,MCSCBT,"At 2025-04-07 23:00:00, ECOMLP showed an anomalous pattern when calling MCSCBT. Total cost was about $2,743 with an average cost of $549 per transaction and a data mean of 11.88. Model confidence in this anomaly is high. This suggests MCSCBT is a high-impact dependency and should be reviewed for potential optimization or reliability risk."
