Model,Feature_Set,PR_AUC,Precision,Recall,F1,Accuracy,Best_Threshold,Valid_Size,Pos_Rate_Valid
KNN_k=3,All 6,0.9998144170711785,0.9992354155516476,0.9997322623828648,0.999120996713292,0.9998506663203857,0.3333333333333333,308035,0.0848767185547097
KNN_k=5,All 6,0.9999988337280137,0.9997321291902648,0.9992350353796137,0.9994455384968357,0.9999058548541562,0.6,308035,0.0848767185547097
KNN_k=7,All 6,0.9999984643871802,0.9998086417390639,0.9991967871485944,0.9993500038235069,0.999889622932459,0.5714285714285714,308035,0.0848767185547097
KNN_k=9,All 6,0.999997881374728,0.9995407753243274,0.9990055459934978,0.9991207951070337,0.9998506663203857,0.5555555555555556,308035,0.0848767185547097
KNN_k=11,All 6,0.9999972657264864,0.999158474543855,0.9990820424555364,0.9991016304451708,0.9998474199360462,0.5454545454545454,308035,0.0848767185547097
KNN_k=13,All 6,0.9999971239453748,0.9993113474634632,0.9990437942245172,0.9989869449700862,0.9998279416300095,0.5384615384615384,308035,0.0848767185547097
KNN_k=15,All 6,0.9999969181793091,0.9995788990123268,0.9986995601453432,0.9991202906865557,0.9998506663203857,0.6,308035,0.0848767185547097
KNN_k=3,Top 3,0.9898807997901745,1.0,0.9886785236182827,0.9942879122992595,0.9990358238511857,0.6666666666666666,308035,0.0848767185547097
KNN_k=5,Top 3,0.9899152664967642,1.0,0.9886785236182827,0.9942879122992595,0.9990358238511857,0.8,308035,0.0848767185547097
KNN_k=7,Top 3,0.9899824145186245,0.9999613152804642,0.9886785236182827,0.9926841913247182,0.9987631275666726,0.2857142857142857,308035,0.0848767185547097
KNN_k=9,Top 3,0.9905436379293963,1.0,0.9886785236182827,0.9942879122992595,0.9990358238511857,0.6666666666666666,308035,0.0848767185547097
KNN_k=11,Top 3,0.99231545678877,1.0,0.9886785236182827,0.9942879122992595,0.9990358238511857,0.5454545454545454,308035,0.0848767185547097
KNN_k=13,Top 3,0.9923140252522743,1.0,0.9886785236182827,0.9942879122992595,0.9990358238511857,0.5384615384615384,308035,0.0848767185547097
KNN_k=15,Top 3,0.9925350988262296,1.0,0.9886785236182827,0.9942879122992595,0.9990358238511857,0.6,308035,0.0848767185547097
LogReg_C=0.1,All 6,0.998702490707549,0.9890651470814723,0.9825205584241729,0.9857630760965501,0.997591182820134,0.5521292610564921,308035,0.0848767185547097
LogReg_C=0.5,All 6,0.9987199495583841,0.9871195277160163,0.9848919487473704,0.9859667260161201,0.9976204002791891,0.5397493931916587,308035,0.0848767185547097
LogReg_C=1.0,All 6,0.9987206635325625,0.9871549079754601,0.9847007075922739,0.9859074024432275,0.9976106611261707,0.5390456971138422,308035,0.0848767185547097
LogReg_C=0.1,Top 3,0.9983567767524865,1.0,0.9886402753872633,0.9937527632008919,0.9989449250896814,0.5763728559326284,308035,0.0848767185547097
LogReg_C=0.5,Top 3,0.9983621926152404,1.0,0.9878753107668771,0.9933657673595754,0.9988799974028926,0.5509469729617706,308035,0.0848767185547097
LogReg_C=1.0,Top 3,0.9983616615743537,1.0,0.9877605660738191,0.9933076923076923,0.9988702582498742,0.5470783917825326,308035,0.0848767185547097
