service,n1,s1,n2,s2,n3,s3,n4,s4,n5,s5
ABTEST,DYNPRC,0.999998917249505,NOTIFY,0.9999952321316882,XCHATTR,0.999971045934221,RECV2,0.9993283148194669,DEMAND,0.9989205802256751
AIRFLW,KAFKA,0.9976439139043473,AZURE,0.9973345870085293,AWS,0.9912035166597828,DBRCKS,0.9834457867635032,SNWFLK,0.9746494920754835
ANALAPI,ECOMLP,0.9981805686152632,RISKMG,0.997183262025705,MOBAPP,0.9971430043707528,GLOBCMP,0.9967874023901064,SUPCHN,0.9958319909395957
APIGWY,SNAPINT,0.9999983536345758,MKTDB,0.992356942570567,SLSDB,0.9923448008086486,MULTILNG,0.9873527880185329,DATARES,0.9867762529126265
ATLAS,MDLREG,0.9740936935639666,GEOANL,0.9668142544896832,FRDETCT,0.947678468494115,MCSCBT,0.9308126398598165,FEATSTR,0.9287963659539529
AUTOML,PAYPROC,0.9999689621264357,FINRPT,0.9995899474130631,BILLING,0.9986211657004764,GLOBAGG,0.9985395450442296,WHLSLP,0.9978496112275563
AWS,AIRFLW,0.9912035166597828,KAFKA,0.9868388423555405,DBRCKS,0.9851093174394467,AZURE,0.9830383306331658,SNWFLK,0.9543345030669141
AZURE,KAFKA,0.9996268478421717,AIRFLW,0.9973345870085293,SNWFLK,0.988047155234139,DBRCKS,0.9873627689130235,AWS,0.9830383306331658
BILLING,GLOBAGG,0.9997452783398493,SUPCHN,0.9997417530359245,GLOBCMP,0.999423977933926,RISKMG,0.9992451481628609,AUTOML,0.9986211657004764
CHURNP,FINPLAN,0.9999995279190628,INVOPT,0.9931236472843021,TRNPIPE,0.9927190723593805,FEATSTR,0.9875157175652994,EXCS,0.9813653871817014
CLVMDL,CSTSEG,0.9749976743079379,NXPCR,0.9069324845642799,MCSCBT,0.8589799299052837,EXCS,0.8557448426240658,FEATSTR,0.8230365556392907
COHORT,EXPENSE,0.9999815545582204,HRANAL,0.9999730299102161,SUPTKT,0.979308674279836,JRNYANL,0.9778988603037864,TEMPANL,0.9734326580907449
COMPLT,YGSCST,0.9611231724612258,YGCLV,0.9610325819960099,YGCHRN,0.9610095384831358,ELASTIC,0.9581239207117416,JPNXPP,0.953645326645242
CSSRVS,WHLSLP,0.9998138002937794,FINRPT,0.9985685994293588,PAYPROC,0.9971395643573712,AUTOML,0.9966711383976893,GLOBAGG,0.9929507321144324
CSTSEG,CLVMDL,0.9749976743079379,EXCS,0.904689199180918,NXPCR,0.8982814529292932,TRNPIPE,0.831436697853572,SPARK,0.8275409702040087
CURRCNV,WEBHOOK,0.991270468399492,SENTANL,0.9879615818784458,VIBEFLX,0.9861386370538909,HEALTH,0.9859921610017208,QUALITY,0.9787794813759667
CUSTPRT,MLOPS,0.9995502567367414,MOBAPP,0.9972111213894176,ECOMLP,0.9961105496552477,ANALAPI,0.9928458991473861,RISKMG,0.9813811201443077
DATAHUB,SPARK,0.9709395850470828,TRNPIPE,0.9684654704192943,FINPLAN,0.9523300583577411,CHURNP,0.9522614173086755,RTDASH,0.9355746243802572
DATARES,MULTILNG,0.9999924304744415,SEARCH,0.9911426997330184,SNAPINT,0.9869724286381233,APIGWY,0.9867762529126265,TAXCALC,0.9785077193364026
DBRCKS,KAFKA,0.9908726276001124,AZURE,0.9873627689130235,SNWFLK,0.9852007378180847,AWS,0.9851093174394467,AIRFLW,0.9834457867635032
DDSD,YELLOWS,0.9937019375985316,YGCLV,0.9745333677242117,YGCHRN,0.9744842353625851,YGSCST,0.9743924941435393,YGASTORE,0.974226050626036
DEMAND,TEMPANL,0.9994349842368003,DYNPRC,0.9989865829806811,ABTEST,0.9989205802256751,NOTIFY,0.9987733136854756,XCHATTR,0.9985513309549232
DRUID,JIJOFS,0.9650588993680389,ELASTIC,0.9298567661872759,YGASTORE,0.897205712189147,YGSCPA,0.8906892212755357,YGAMRKT,0.8906049026562255
DYNPRC,ABTEST,0.999998917249505,NOTIFY,0.9999898182698315,XCHATTR,0.9999599629001066,RECV2,0.999319334163053,DEMAND,0.9989865829806811
ECOMLP,MOBAPP,0.999836667342662,ANALAPI,0.9981805686152632,CUSTPRT,0.9961105496552477,MLOPS,0.9934285221914391,RISKMG,0.9930925581915134
ELASTIC,YGSCST,0.9937959259358501,YGCHRN,0.9937712035251477,YGCLV,0.9937316084817993,JIJOFS,0.9899941691000163,YGASTORE,0.9878274116701515
EXCS,TRNPIPE,0.9889250962367313,SPARK,0.9835175552289965,FINPLAN,0.9815340960888086,CHURNP,0.9813653871817014,NXPCR,0.9665506871330297
EXPENSE,HRANAL,0.9999991283986158,COHORT,0.9999815545582204,SUPTKT,0.98049439555068,JRNYANL,0.9791220209613335,TEMPANL,0.9747733928334109
FEATSTR,INVOPT,0.9981858254356601,FRDETCT,0.9979510811159656,GEOANL,0.9917225399246873,MCSCBT,0.9896124110308508,CHURNP,0.9875157175652994
FINPLAN,CHURNP,0.9999995279190628,INVOPT,0.9930157518981618,TRNPIPE,0.9928242232062714,FEATSTR,0.9873945850522023,EXCS,0.9815340960888086
FINRPT,PAYPROC,0.9997101397409314,AUTOML,0.9995899474130631,WHLSLP,0.9992316937009753,CSSRVS,0.9985685994293588,GLOBAGG,0.9971381742622916
FRDETCT,FEATSTR,0.9979510811159656,GEOANL,0.9977074465307085,INVOPT,0.9945288182019929,MCSCBT,0.9936689124698328,NXPCR,0.9796215114443623
GEOANL,FRDETCT,0.9977074465307085,FEATSTR,0.9917225399246873,MCSCBT,0.9903123916973171,INVOPT,0.9883003929102521,ATLAS,0.9668142544896832
GLOBAGG,BILLING,0.9997452783398493,SUPCHN,0.999396073878223,GLOBCMP,0.9990171181923762,RISKMG,0.9987758049536505,PAYPROC,0.9985680217491396
GLOBCMP,RISKMG,0.999986447662422,SUPCHN,0.9999369144622917,BILLING,0.999423977933926,GLOBAGG,0.9990171181923762,ANALAPI,0.9967874023901064
HEALTH,VIBEFLX,0.9999987399845677,SENTANL,0.9993604616829149,WEBHOOK,0.9980306984268075,YGCLEB,0.9973264497255034,YGAMRKT,0.9973180561990472
HMFRP,POSIDN,0.9511846826936603,AWS,0.938004272261741,AIRFLW,0.8888648040580992,DBRCKS,0.8819825668053214,KAFKA,0.8696625009096236
HRANAL,EXPENSE,0.9999991283986158,COHORT,0.9999730299102161,SUPTKT,0.9807196365927255,JRNYANL,0.9793537393134912,TEMPANL,0.9750276803402695
INVOPT,FEATSTR,0.9981858254356601,FRDETCT,0.9945288182019929,CHURNP,0.9931236472843021,FINPLAN,0.9930157518981618,GEOANL,0.9883003929102521
JAPNDB,REDIS,0.9794109814321675,DBRCKS,0.9776407410169794,SNWFLK,0.9601784180288736,KAFKA,0.942891213864943,AZURE,0.9362839012268025
JIJOFS,ELASTIC,0.9899941691000163,YGASTORE,0.9814169777542445,YGSCPA,0.9730923169063304,YGAMRKT,0.9730126118778475,YGCLEB,0.972930374948457
JPCHRN,JPNXPP,0.9718572810260431,PANDRA,0.9525050077597863,COMPLT,0.9356956574458328,RTDASH,0.8123885410080166,ELASTIC,0.8024771822531703
JPNXPP,JPCHRN,0.9718572810260431,COMPLT,0.953645326645242,PANDRA,0.8877162523222466,ELASTIC,0.874492504670435,DRUID,0.8558216159980556
JRNYANL,SUPTKT,0.9999746349199568,TEMPANL,0.9997920172923735,DEMAND,0.9985426849093568,DYNPRC,0.9951403415565876,ABTEST,0.9950007041415979
KAFKA,AZURE,0.9996268478421717,AIRFLW,0.9976439139043473,DBRCKS,0.9908726276001124,SNWFLK,0.9874481699087444,AWS,0.9868388423555405
MCSCBT,FRDETCT,0.9936689124698328,GEOANL,0.9903123916973171,FEATSTR,0.9896124110308508,NXPCR,0.9865538546811006,INVOPT,0.979525521063605
MDLMON,QUALITY,0.9999258031603093,PROJMG,0.9938243974794445,CURRCNV,0.9767195695919304,WEBHOOK,0.940152349667403,SENTANL,0.9317772692204676
MDLREG,ATLAS,0.9740936935639666,GEOANL,0.9089577552668355,FRDETCT,0.879577318715628,MCSCBT,0.8783341658421074,FEATSTR,0.8479662169882396
MKTDB,SLSDB,0.9999998349288985,APIGWY,0.992356942570567,SNAPINT,0.9921994285052436,CSSRVS,0.9911646147980679,WHLSLP,0.9884227250639768
MLOPS,CUSTPRT,0.9995502567367414,MOBAPP,0.9947148421521923,ECOMLP,0.9934285221914391,ANALAPI,0.9906819097406506,RISKMG,0.9776943766800719
MOBAPP,ECOMLP,0.999836667342662,CUSTPRT,0.9972111213894176,ANALAPI,0.9971430043707528,MLOPS,0.9947148421521923,RISKMG,0.9908128708528151
MULTILNG,DATARES,0.9999924304744415,SEARCH,0.9906650307968172,SNAPINT,0.9875426500732047,APIGWY,0.9873527880185329,TAXCALC,0.9777626736840593
NOTIFY,ABTEST,0.9999952321316882,DYNPRC,0.9999898182698315,XCHATTR,0.9999894792808318,RECV2,0.9993732232334991,DEMAND,0.9987733136854756
NXPCR,MCSCBT,0.9865538546811006,FEATSTR,0.9855400701282392,FRDETCT,0.9796215114443623,INVOPT,0.9766415452291541,CHURNP,0.9706945273040702
PANDRA,JPCHRN,0.9525050077597863,COMPLT,0.9380732622085057,REDIS,0.9199597598711747,JPNXPP,0.8877162523222466,JAPNDB,0.8700232241147247
PAYPROC,AUTOML,0.9999689621264357,FINRPT,0.9997101397409314,GLOBAGG,0.9985680217491396,BILLING,0.9984735303397811,WHLSLP,0.9982634106887394
POSIDN,HMFRP,0.9511846826936603,SELENE,0.9281598872682694,AWS,0.8489801701376438,JAPNDB,0.8222605535163854,DBRCKS,0.8165306840833257
PROJMG,MDLMON,0.9938243974794445,QUALITY,0.9927401401955156,CURRCNV,0.9470276945426267,COHORT,0.934804882418147,EXPENSE,0.9326909131856941
QUALITY,MDLMON,0.9999258031603093,PROJMG,0.9927401401955156,CURRCNV,0.9787794813759667,WEBHOOK,0.9433441904756559,SENTANL,0.9353286573474031
RECV2,XCHATTR,0.9994599884405831,NOTIFY,0.9993732232334991,ABTEST,0.9993283148194669,DYNPRC,0.999319334163053,DEMAND,0.9976817306386129
REDIS,SNWFLK,0.9836745218092844,JAPNDB,0.9794109814321675,DBRCKS,0.9666306116734766,KAFKA,0.948675309961436,AZURE,0.9472468811234841
RISKMG,GLOBCMP,0.999986447662422,SUPCHN,0.9998678011617684,BILLING,0.9992451481628609,GLOBAGG,0.9987758049536505,ANALAPI,0.997183262025705
RTDASH,SPARK,0.9777429872006922,TRNPIPE,0.9496624402457878,EXCS,0.9449608119941503,DATAHUB,0.9355746243802572,FINPLAN,0.905607090282021
SEARCH,TAXCALC,0.9972182600188471,DATARES,0.9911426997330184,MULTILNG,0.9906650307968172,RECV2,0.9720719580469783,XCHATTR,0.9701031282595282
SELENE,POSIDN,0.9281598872682694,HMFRP,0.8501052116623926,AWS,0.6300301366775349,CLVMDL,0.5864771259702357,DBRCKS,0.5555467242458324
SENTANL,WEBHOOK,0.9995281664503042,VIBEFLX,0.9994154060184948,HEALTH,0.9993604616829149,YGAMRKT,0.9979617981783607,YGCLEB,0.9979510473714098
SLSDB,MKTDB,0.9999998349288985,APIGWY,0.9923448008086486,SNAPINT,0.992187902862521,CSSRVS,0.9911841451726664,WHLSLP,0.9884446519983945
SNAPINT,APIGWY,0.9999983536345758,MKTDB,0.9921994285052436,SLSDB,0.992187902862521,MULTILNG,0.9875426500732047,DATARES,0.9869724286381233
SNWFLK,AZURE,0.988047155234139,KAFKA,0.9874481699087444,DBRCKS,0.9852007378180847,REDIS,0.9836745218092844,AIRFLW,0.9746494920754835
SPARK,TRNPIPE,0.99416169076792,EXCS,0.9835175552289965,RTDASH,0.9777429872006922,FINPLAN,0.9741250019028871,CHURNP,0.9739264103593072
SUPCHN,GLOBCMP,0.9999369144622917,RISKMG,0.9998678011617684,BILLING,0.9997417530359245,GLOBAGG,0.999396073878223,AUTOML,0.9971709290240278
SUPTKT,JRNYANL,0.9999746349199568,TEMPANL,0.9996258476729792,DEMAND,0.9981417265445188,DYNPRC,0.9944440875822027,ABTEST,0.9942958034959712
TAXCALC,SEARCH,0.9972182600188471,RECV2,0.9867324082683326,XCHATTR,0.9854927538050733,NOTIFY,0.984720510178665,ABTEST,0.9841791854722998
TEMPANL,JRNYANL,0.9997920172923735,SUPTKT,0.9996258476729792,DEMAND,0.9994349842368003,DYNPRC,0.996939298789926,ABTEST,0.9968278027972223
TRNPIPE,SPARK,0.99416169076792,FINPLAN,0.9928242232062714,CHURNP,0.9927190723593805,EXCS,0.9889250962367313,INVOPT,0.9718771305164207
VIBEFLX,HEALTH,0.9999987399845677,SENTANL,0.9994154060184948,WEBHOOK,0.9981275866995304,YGCLEB,0.9973664313145192,YGAMRKT,0.997358916236025
WEBHOOK,SENTANL,0.9995281664503042,VIBEFLX,0.9981275866995304,HEALTH,0.9980306984268075,YGAMRKT,0.9962714457838815,YGCLEB,0.996244654959203
WHLSLP,CSSRVS,0.9998138002937794,FINRPT,0.9992316937009753,PAYPROC,0.9982634106887394,AUTOML,0.9978496112275563,GLOBAGG,0.9950366276213212
XCHATTR,NOTIFY,0.9999894792808318,ABTEST,0.999971045934221,DYNPRC,0.9999599629001066,RECV2,0.9994599884405831,DEMAND,0.9985513309549232
YELLOWS,DDSD,0.9937019375985316,YGCLV,0.9498137992209573,YGCHRN,0.9497243926432368,YGSCST,0.9496144521195491,YGASTORE,0.9428746634907094
